"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Aabangan ko talaga yung mmk ni miriam defensor santiago <ed><U+00A0><U+00BD><ed><U+00B1><U+0086><ed><U+00A0><U+00BD><ed><U+00B1><U+0086>",FALSE,0,NA,2016-10-06 13:13:03,FALSE,NA,"784018634490380288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","potchaypotchay",0,FALSE,FALSE,NA,NA
"2","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-06 12:57:31,FALSE,NA,"784014726053236736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheJackyRosal",466,TRUE,FALSE,NA,NA
"3","Tribute to late Sen. Miriam Defensor-Santiago https://t.co/YpusxIFZxx",FALSE,11,NA,2016-10-06 12:27:27,FALSE,NA,"784007160241885184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lesbIANLEEopard",0,FALSE,FALSE,NA,NA
"4","I liked a @YouTube video https://t.co/EsNLLKILHr The Miriam Defensor - Santiago story",FALSE,0,NA,2016-10-06 12:17:33,FALSE,NA,"784004668619980801",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Xerianholic",0,FALSE,FALSE,NA,NA
"5","RT @Brigada_GNTV: Magmula kampanya ay hindi iniwan ng mga kabataan ang itinuturing nilang idolo na si Sen. Miriam Defensor-Santiago. https:…",FALSE,0,NA,2016-10-06 12:14:20,FALSE,NA,"784003860100591616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsmepoljohnb",1,TRUE,FALSE,NA,NA
"6","Magmula kampanya ay hindi iniwan ng mga kabataan ang itinuturing nilang idolo na si Sen. Miriam Defensor-Santiago. https://t.co/oS9Bwn50em",FALSE,2,NA,2016-10-06 12:12:59,FALSE,NA,"784003517358886912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brigada_GNTV",1,FALSE,FALSE,NA,NA
"7","RT @senmiriam: The family and friends of Sen. Miriam Defensor Santiago invite everyone to join them for a mass on the ninth day of her pass…",FALSE,0,NA,2016-10-06 12:10:35,FALSE,NA,"784002915589468160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Y_Dannang",466,TRUE,FALSE,NA,NA
"8","Passing of Senator Miriam Defensor-Santiago https://t.co/hayxoDUEws",FALSE,0,NA,2016-10-06 12:06:51,FALSE,NA,"784001972991066112",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","TUBAGBOHOLcom",0,FALSE,FALSE,NA,NA
"9","Passing of Senator Miriam Defensor-Santiago https://t.co/C4msWn9AQk",FALSE,0,NA,2016-10-06 12:04:12,FALSE,NA,"784001306075594754",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","boholtribune",0,FALSE,FALSE,NA,NA
"10","RT @MajCutieFriends: RepostBy @mmkofficial: 
Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong… https://t.co/DM8v0z6bfF",FALSE,0,NA,2016-10-06 12:01:29,FALSE,NA,"784000623444361216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SaripaPagagao",2,TRUE,FALSE,NA,NA
"11","Hindi lahat ng sweet ay loyal sayo.tandaan,sweet nga ang candy,pero nakabalot sa plastic.
-Miriam Defensor Santiago",FALSE,0,NA,2016-10-06 11:55:32,FALSE,NA,"783999127315095552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AntonioAgregado",1,FALSE,FALSE,NA,NA
"12","RT @MajCutieFriends: RepostBy @mmkofficial: 
Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong… https://t.co/DM8v0z6bfF",FALSE,0,NA,2016-10-06 11:37:30,FALSE,NA,"783994589019451392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tiger052374",2,TRUE,FALSE,NA,NA
"13","RT @dprettymaja: RepostBy @mmkofficial: 
Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong… https://t.co/ubTNne8X4w",FALSE,0,NA,2016-10-06 11:37:24,FALSE,NA,"783994561781575680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tiger052374",1,TRUE,FALSE,NA,NA
"14","RepostBy @mmkofficial: 
Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong… https://t.co/ubTNne8X4w",FALSE,2,NA,2016-10-06 11:31:27,FALSE,NA,"783993068152172544",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dprettymaja",1,FALSE,FALSE,NA,NA
"15","RepostBy @mmkofficial: 
Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong… https://t.co/DM8v0z6bfF",FALSE,4,NA,2016-10-06 11:30:10,FALSE,NA,"783992741436850176",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MajCutieFriends",2,FALSE,FALSE,NA,NA
"16","You will never be the second Miriam Defensor-Santiago Leila Delima. Duhhh!",FALSE,0,NA,2016-10-06 11:19:06,FALSE,NA,"783989959577378816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyrpscl",0,FALSE,FALSE,NA,NA
"17","""Pahingi naman ako ng papel. Papel sa buhay mo."" Awtsuuu <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>
- Miriam Defensor-Santiago",FALSE,1,NA,2016-10-06 11:17:25,FALSE,NA,"783989535877140482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","changbang11y",0,FALSE,FALSE,NA,NA
"18","RT @MMKOfficial: Bilang isang pagpupugay, ating balikan ang kwento ni Senator Miriam Defensor-Santiago ngayong Sabado. #MMKSenatorMiriam #M…",FALSE,0,NA,2016-10-06 11:14:44,FALSE,NA,"783988860812349441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HannaMugot",88,TRUE,FALSE,NA,NA
"19","RT @MMKOfficial: Bilang isang pagpupugay, tayo'y magbabalik-tanaw sa buhay ni Sen. Miriam Defensor-Santiago. #MMKSenatorMiriam #MMK25 https…",FALSE,0,NA,2016-10-06 11:07:09,FALSE,NA,"783986951271485440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","russelsantos",8,TRUE,FALSE,NA,NA
"20","RT @ANCALERTS: NOW ON ANC: Necrological service for Sen. Miriam Defensor-Santiago #RIPMiriam https://t.co/Ka32mO1snR",FALSE,0,NA,2016-10-06 11:02:27,FALSE,NA,"783985765990604800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","csallytanyesa",65,TRUE,FALSE,NA,NA
"21","RT @Senyora: Maraming Salamat Sen. Miriam Defensor Santiago. Nagluluksa ang buong Pilipinas <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>",FALSE,0,NA,2016-10-06 11:01:45,FALSE,NA,"783985593281806337",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Thesimonvasquez",5073,TRUE,FALSE,NA,NA
"22","Para sa iba pang detalye tungkol sa #MMKSenatorMiriam, bisitahin ang page na ito: https://t.co/ezqIH15mcV #MMK25",FALSE,1,"MMKOfficial",2016-10-06 10:50:24,FALSE,"783982691075055616","783982737073975296","372668374","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MMKOfficial",0,FALSE,FALSE,NA,NA
"23","Paano nga ba narating ni Senator Miriam Defensor-Santiago ang estadong kanyang naabot sa larangan ng politika?… https://t.co/6k9He4V4tf",FALSE,8,"MMKOfficial",2016-10-06 10:50:13,TRUE,"783617148295843840","783982691075055616","372668374","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MMKOfficial",1,FALSE,FALSE,NA,NA
"24","RIP Sen. Miriam Defensor Santiago . <ed><U+00AE><U+00B8><ed><U+00BD><U+0080><ed><U+00AE><U+00B8><ed><U+00BC><U+00BA><ed><U+00AE><U+00B8><ed><U+00BC><U+00B9> The best president we never had . <ed><U+00AE><U+00B8><ed><U+00BD><U+0080><ed><U+00AE><U+00B8><ed><U+00BC><U+00B9>",FALSE,0,NA,2016-10-06 10:42:01,FALSE,NA,"783980627867631618",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bryanbraganza11",0,FALSE,FALSE,NA,NA
"25","Sino kaya ang gaganap bilang Miriam Defensor Santiago sa MMK? Mas bagay si Vilma Santos. <ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><U+2764><U+FE0F> diba Kuya @luckymanzano? :)",FALSE,0,NA,2016-10-06 10:33:48,FALSE,NA,"783978557995257856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","audreynazol",0,FALSE,FALSE,NA,NA
